Diameter,Thickness,Mass,Restitution,Force,Force application Time,Lateral friction,Spinning friction,Rolling friction,Distance between coins,Linear damping,Angular damping,Heads,Tails,Side,Total
23.333333333333336,10.0,15.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,19810,19657,10533,50000
23.333333333333336,10.0,20.0,0.55,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21114,20931,7955,50000
23.333333333333336,10.0,20.0,0.6,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,20494,20441,9065,50000
23.333333333333336,10.0,20.0,0.65,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,20213,20520,9267,50000
23.333333333333336,10.0,20.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,19625,19846,10529,50000
27.18281828459045,10.0,5.0,0.55,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21184,20929,7887,50000
27.18281828459045,10.0,5.0,0.6,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21139,20812,8049,50000
27.18281828459045,10.0,5.0,0.65,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,20706,20455,8839,50000
27.18281828459045,10.0,5.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,19991,20203,9806,50000
27.18281828459045,10.0,10.0,0.55,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,22026,21626,6348,50000
27.18281828459045,10.0,10.0,0.6,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21660,21513,6827,50000
27.18281828459045,10.0,10.0,0.65,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21770,21810,6420,50000
27.18281828459045,10.0,10.0,0.7,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21375,21407,7218,50000
27.18281828459045,10.0,15.0,0.55,1.0,0.05,0.5,0.0005,0.002,10.0,0.05,0.05,21751,21724,6525,50000
